time,lat,lon,dev_acc_d
"2022-03-19 15:35:54",35.72172,51.4156717,3.34729
"2022-03-19 15:35:59",35.72172,51.4156717,3.34729
"2022-03-19 15:36:04",35.72172,51.4156717,3.34729
"2022-03-19 15:36:09",35.72172,51.4156717,3.34729
"2022-03-19 15:36:14",35.72172,51.4156717,3.34729
"2022-03-19 15:36:19",35.72172,51.4156717,3.34729
"2022-03-19 15:36:24",35.72172,51.4156717,3.34729
"2022-03-19 15:36:29",35.72172,51.4156717,3.34729
"2022-03-19 15:36:34",35.72172,51.4156717,3.34729
"2022-03-19 15:36:39",35.72172,51.4156717,3.34729
"2022-03-19 15:36:44",35.72172,51.4156717,3.34729
"2022-03-19 15:36:49",35.72172,51.4156717,3.34729
"2022-03-19 15:36:54",35.72172,51.4156717,3.34729
"2022-03-19 15:36:59",35.72172,51.4156717,3.34729
"2022-03-19 15:37:04",35.72172,51.4156717,3.34729
"2022-03-19 15:37:09",35.72172,51.4156717,3.34729
"2022-03-19 15:37:14",35.72172,51.4156717,3.34729
"2022-03-19 15:37:19",35.72172,51.4156717,3.34729
"2022-03-19 15:37:24",35.72172,51.4156717,3.34729
"2022-03-19 15:37:29",35.72172,51.4156717,3.34729
"2022-03-19 15:37:34",35.72172,51.4156717,3.34729
"2022-03-19 15:37:39",35.72172,51.4156717,3.34729
"2022-03-19 15:37:44",35.72172,51.4156717,3.34729
"2022-03-19 15:37:49",35.72172,51.4156717,3.34729
"2022-03-19 15:37:54",35.72172,51.4156717,3.34729
"2022-03-19 15:37:59",35.72172,51.4156717,3.34729
"2022-03-19 15:38:04",35.72172,51.4156717,3.34729
"2022-03-19 15:38:09",35.72172,51.4156717,3.34729
"2022-03-19 15:38:14",35.72172,51.4156717,3.34729
"2022-03-19 15:38:19",35.72172,51.4156717,3.34729
"2022-03-19 15:38:24",35.72172,51.4156717,3.34729
"2022-03-19 15:38:29",35.72172,51.4156717,3.34729
"2022-03-19 15:38:34",35.72172,51.4156717,3.34729
"2022-03-19 15:38:39",35.72172,51.4156717,3.34729
"2022-03-19 15:38:44",35.72172,51.4156717,3.34729
"2022-03-19 15:38:49",35.72172,51.4156717,3.34729
"2022-03-19 15:38:54",35.72172,51.4156717,3.34729
"2022-03-19 15:38:59",35.72172,51.4156717,3.34729
"2022-03-19 15:39:04",35.72172,51.4156717,3.34729
"2022-03-19 15:39:09",35.72172,51.4156717,3.34729
"2022-03-19 15:39:14",35.72172,51.4156717,3.34729
"2022-03-19 15:39:19",35.72172,51.4156717,3.34729
"2022-03-19 15:39:24",35.72172,51.4156717,3.34729
"2022-03-19 15:39:29",35.72172,51.4156717,3.34729
"2022-03-19 15:39:34",35.72172,51.4156717,3.34729
"2022-03-19 15:39:39",35.72172,51.4156717,3.34729
"2022-03-19 15:39:44",35.72172,51.4156717,3.34729
"2022-03-19 15:39:49",35.72172,51.4156717,3.34729
"2022-03-19 15:39:54",35.72172,51.4156717,3.34729
"2022-03-19 15:39:59",35.72172,51.4156717,3.34729
"2022-03-19 15:40:04",35.72172,51.4156717,3.34729
"2022-03-19 15:40:09",35.72172,51.4156717,3.34729
"2022-03-19 15:40:14",35.72172,51.4156717,3.34729
"2022-03-19 15:40:19",35.72172,51.4156717,3.34729
"2022-03-19 15:40:24",35.72172,51.4156717,3.34729
"2022-03-19 15:40:29",35.72172,51.4156717,3.34729
"2022-03-19 15:40:34",35.72172,51.4156717,3.34729
"2022-03-19 15:40:39",35.72172,51.4156717,3.34729
"2022-03-19 15:40:44",35.72172,51.4156717,3.34729
"2022-03-19 15:40:49",35.72172,51.4156717,3.34729
"2022-03-19 15:40:54",35.72172,51.4156717,3.34729
"2022-03-19 15:40:59",35.72172,51.4156717,3.34729
"2022-03-19 15:41:04",35.72172,51.4156717,3.34729
"2022-03-19 15:41:09",35.72172,51.4156717,3.34729
"2022-03-19 15:41:14",35.72172,51.4156717,3.34729
"2022-03-19 15:41:19",35.72172,51.4156717,3.34729
"2022-03-19 15:41:24",35.72172,51.4156717,3.34729
"2022-03-19 15:41:29",35.72172,51.4156717,3.34729
"2022-03-19 15:41:34",35.72172,51.4156717,3.34729
"2022-03-19 15:41:39",35.72172,51.4156717,3.34729
"2022-03-19 15:41:44",35.72172,51.4156717,3.34729
"2022-03-19 15:41:49",35.72172,51.4156717,3.34729
"2022-03-19 15:41:54",35.72172,51.4156717,3.34729
"2022-03-19 15:41:59",35.72172,51.4156717,3.34729
"2022-03-19 15:42:04",35.72172,51.4156717,3.34729
"2022-03-19 15:42:09",35.72172,51.4156717,3.34729
"2022-03-19 15:42:14",35.72172,51.4156717,3.34729
"2022-03-19 15:42:19",35.72172,51.4156717,3.34729
"2022-03-19 15:42:24",35.72172,51.4156717,3.34729
"2022-03-19 15:42:29",35.72172,51.4156717,3.34729
"2022-03-19 15:42:34",35.72172,51.4156717,3.34729
"2022-03-19 15:42:39",35.72172,51.4156717,3.34729
"2022-03-19 15:42:44",35.72172,51.4156717,3.34729
"2022-03-19 15:42:49",35.72172,51.4156717,3.34729
"2022-03-19 15:42:54",35.72172,51.4156717,3.34729
"2022-03-19 15:42:59",35.72172,51.4156717,3.34729
"2022-03-19 15:43:04",35.72172,51.4156717,3.34729
"2022-03-19 15:43:09",35.72172,51.4156717,3.34729
